Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1927410120847179901,Lemon Argentina,"Desde hace un año apostamos por optimizar los reclamos: sumamos justicia descentralizada y 100% on-chain con @Kleros_es.

Mientras otros canales tradicionales (COPREC) desaparecen, nosotros anticipamos el cambio y seguimos simplificando la vida de nuestros usuarios.

Te cuento https://t.co/xWy9yIp3Wn",Tue May 27 17:02:37 +0000 2025,17,62,8,3,6109
1927096951805194477,Lemon Argentina,"Intercambiá crypto casi SIN COMISIÓN 🤑

Las queríamos bajar a cero, pero el dev que lo tenía que programar está ocupado armando cosas (MUY) buenas que se vienen dentro de (MUY) poco.

Aprovechá para intercambiar low-cost hasta el sábado 31/5 inclusive 👍 https://t.co/OzbS7QicUc",Mon May 26 20:18:11 +0000 2025,3,36,1,6,29658
1926670623012458964,Lemon Argentina,"Un 25 de mayo de 1810 decidimos que seguir órdenes no era lo nuestro.

215 años después, seguimos creyendo lo mismo.

Por eso elegimos Bitcoin.
Por eso somos la capital crypto de América Latina.
Por eso, y por tantas otras cosas, somos argentinos. https://t.co/Y7zABy50pO",Sun May 25 16:04:06 +0000 2025,2,43,0,2,3445
1926357013933572319,Lemon Argentina,Dale que te llevás el kittttt 🍕👇,Sat May 24 19:17:56 +0000 2025,6,32,1,10,7573
1926018840070152428,Lemon Argentina,"GANADORES CONFIRMADOS 🍕🏆

Tres personas se llevan 1 pizza por semana durante un año ($1000 USD en $BTC).

Sí: 52 noches de delivery 🛵

$fabriciovillegas.chn
$martinrodriguezlaboral
$matibusta96

Que empiecen a volar esas grandes de muzza.
O de pepperoni, como Laszlo mandaría.",Fri May 23 20:54:09 +0000 2025,2,11,0,6,4859
1925925938237166057,Lemon Argentina,"LEMON FRIDAYS PIZZERO 🍕🔥

Sorteamos 1 kit con todo lo necesario para hacerte unas pizzas en casa y sentirte el rey del horno.

Si Laszlo lo tenía, se hacía una prepizza y se quedaba con los 10.000 BTC.

👉 RT + tu $lemontag
📆 Sorteamos el lunes 26/5 https://t.co/oUJXPwBbc9",Fri May 23 14:45:00 +0000 2025,331,241,44,336,39140
1925908599240352108,Lemon Argentina,https://t.co/fFV7Ai7Kzk,Fri May 23 13:36:06 +0000 2025,0,43,0,2,4232
1925645205841019347,Lemon Argentina,"Señoras y señores, es de mi agrado presentarles el BITCOIN PIZZA DAY KIT 2025 🍕🤩

Fav si querés uno ✋ https://t.co/7CAnPC4Lej",Thu May 22 20:09:28 +0000 2025,44,616,5,92,20309
1925625440124695007,Lemon Argentina,😮‍💨,Thu May 22 18:50:55 +0000 2025,0,8,0,1,2618
1925581770629497324,Lemon Argentina,"Hoy es el #BitcoinPizzaDay y la monedita viene de romper récords. Nos pareció un buen momento para salir a repartir pizzas 🍕

¿Estás por Palermo y querés que te caigamos con una?
Dejá tu $lemontag acá abajo 👇",Thu May 22 15:57:24 +0000 2025,5,58,2,34,6666
