username,text,likes,retweets,replies,views,created_at
Supervielle_ARG," ¡Supervielle en Somos Pymes Summit Rosario!

El 20/3, empresarios y emprendedores se reúnen para hablar de economía, política, innovación y transformación digital  ¡Y vamos a estar ahí!",1,0,1,380,2025-03-14T20:00:11.000Z
Supervielle_ARG," Para clientes Supervielle tenemos un 60% de ahorro en entradas  
eventbrite.com.ar/e/124396243813
…

Conocé más en 
somospymesummit.com.ar

Tu familia cerca, tu banco también. ",1,0,1,546,2025-03-14T20:00:12.000Z
Supervielle_ARG," ¡Hora de planear tu próximo viaje! 

Hasta el 16 de marzo, comprá tus pasajes en Aerolíneas Argentinas y Almundo para destinos nacionales y pagá con tus Tarjetas Supervielle de crédito",0,0,1,381,2025-03-12T17:34:54.000Z
Supervielle_ARG," Hasta 12 cuotas sin interés.
 Hasta 18 cuotas sin interés para clientes Identité.

 Conocé más en 
supervielle.com.ar

Tu familia cerca, tu banco también. ",1,0,1,309,2025-03-12T17:34:57.000Z
Supervielle_ARG,"¿Estás en Mendoza y con ganas de algo rico? 
¡Estamos para acompañarte con beneficios en los mejores restós! 

 ¡Buen apetito!

Conocé más en 
supervielle.com.ar/personas/benef
…

Tu familia cerca, tu banco también. ",1,0,0,384,2025-02-20T14:03:15.000Z
Supervielle_ARG,"La vuelta al cole es sin preocupaciones 

 Tenés 6 cuotas sin interés en productos seleccionados de Vuelta al Cole, en Coto, Disco, Jumbo y Vea, pagando con tu Tarjeta Supervielle Visa de crédito. Aprovechá el beneficio hasta el 28/02.",1,0,1,399,2025-02-17T13:02:11.000Z
Supervielle_ARG,"Conocé más en 
supervielle.com.ar/personas/benef
…

Tu familia cerca, tu banco también. ",1,0,0,305,2025-02-17T13:02:13.000Z
Supervielle_ARG," ¡La vuelta al cole tiene + ahorros y cuotas en marcas de indumentaria y librería adheridas! 

Aprovechá los descuentos y cuotas pagando con MODO desde la App Supervielle con tus Tarjetas Supervielle. Te contamos más",1,0,1,397,2025-02-15T13:01:35.000Z
Supervielle_ARG," Del 15 al 28 de febrero, equipá a los chicos con todo lo que necesitan y aprovechá los beneficios que te da Supervielle. ",2,0,1,339,2025-02-15T13:01:36.000Z
Supervielle_ARG," Es fácil:
 Comprá en marcas adheridas.
 Pagá con 
@MODO_Arg
 desde la App Supervielle.
 ¡Listo! Ahorrá y pagá en cuotas.  

 Conocé más  
supervielle.com.ar/personas/benef
… y llevate mucho + para el cole.

Tu familia cerca, tu banco también. ",3,0,1,369,2025-02-15T13:01:36.000Z
Supervielle_ARG," Tenés un:
 20% de ahorro (tope $20.000)
 Hasta 9 cuotas sin interés
Pagando con 
@MODO_Arg
 desde la App Supervielle con tus Tarjetas Supervielle.",1,0,1,58,2025-02-15T13:01:35.000Z
Supervielle_ARG," Este año, la vuelta al cole viene con cuotas que se adaptan a vos.

Del 15 al 22 de febrero, en 
@ML_Argentina
, tenés 9 cuotas sin interés pagando con tu Tarjeta Supervielle Visa de crédito.",2,0,1,309,2025-02-14T13:19:22.000Z
Supervielle_ARG,"Y si sos cliente Identité, podés comprar hasta en 12 cuotas sin interés pagando con tu Tarjeta Supervielle Identité Visa de crédito.

Conocé más en 
supervielle.com.ar/personas/benef
…

Tu familia cerca, tu banco también. ",1,0,0,275,2025-02-14T13:19:23.000Z
Supervielle_ARG," Más beneficios para vos, todos los días.

Desde ahorros en supermercados y farmacias hasta cuotas sin interés en viajes, restaurantes y mucho más. Pagar con tus Tarjetas Supervielle desde la App es lo más conveniente, siempre.",1,0,1,239,2025-02-13T13:03:29.000Z
Supervielle_ARG,"Tu verano tiene + beneficios, + ahorros y + cuotas en el parador Kota con tus tarjetas Supervielle Visa. 

Tu verano tiene + experiencias para disfrutar.

Conocé más en 
supervielle.com.ar/landings/veran
…
Tu familia cerca, tu banco también. ",1,0,0,330,2025-02-06T13:01:39.000Z
Supervielle_ARG," Tu verano tiene + momentos para disfrutar en María del Mar.

Nos fuimos al parador y le preguntamos a la gente qué es lo que más disfrutan del verano. ¡Mirá lo que nos contaron! 

¿Y vos? ¿Qué es lo que más te gusta del verano?
Conocé más  
supervielle.com.ar/personas/benef
…",1,0,2,438,2025-02-03T13:00:46.000Z
Supervielle_ARG,"Estés donde estés te acompañamos en el verano con los mejores beneficios, para que disfrutes mucho más. 

  Enterate todo lo que podés hacer estas vacaciones con tu Tarjeta Supervielle Mastercard de crédito.",2,0,1,367,2025-01-31T17:03:40.000Z
Supervielle_ARG,"Cuando salgas a comer, la propina la dejamos nosotros .

En restaurantes adheridos tenés un 100% de reintegro (Tope $10.000 por transacción) en Propinas, pagando con tu Tarjeta Supervielle Mastercard de crédito.",2,0,1,327,2025-01-31T17:03:42.000Z
Supervielle_ARG,"¡Aprovechá + ahorros, + cuotas, + diversión y muchísimo +!

¡Conocé más acá!  
mastercard.com.ar/es-ar/consumid
…

Tu familia cerca, tu banco también.",2,0,0,343,2025-01-31T17:03:43.000Z
Supervielle_ARG,"Si estás en Cariló, en Zur Restaurante  todos los días tenés:",0,0,1,44,2025-01-31T17:03:41.000Z
Supervielle_ARG,"Un 35% de ahorro (Tope $100.000 por semana) pagando sin contacto con tu Tarjeta Supervielle Mastercard de crédito desde tu celu con NFC.

Un 20% de ahorro (Tope $70.000 por semana) pagando con tu Tarjeta Supervielle Mastercard de crédito.",0,0,1,49,2025-01-31T17:03:41.000Z
Supervielle_ARG,"Viví una Fiesta de la Vendimia 2025 exclusiva 

 Tus Tarjetas Supervielle Identité y Almundo te ofrecen la posibilidad de disfrutar un paquete y actividades en bodegas en hasta 18 cuotas sin interés.",2,0,1,426,2025-01-30T19:24:05.000Z
Supervielle_ARG,"Y para continuar viviendo la experiencia luego de tu escapada, tenés un 30% de ahorro en bodega adheridas  para traer lo mejor de Mendoza a tu hogar.  Disfrutá la Vendimia con todo.  

 Conocé más acá  
supervielle.com.ar/personas/benef
…  

Identité es exclusivo para vos.",2,0,0,300,2025-01-30T19:53:39.000Z
Supervielle_ARG," Alerta Phishing: Hay gente que intenta robar tus datos, por eso es importante que sigas estos consejos de seguridad para que continúes operando sin problemas:",2,1,2,363,2025-01-29T20:21:09.000Z
