profile,text,reactions,comments,shares,created_at,followers
Cocos,"📣 Hablamos el mismo idioma que la calle

El dólar está en las charlas de café, la sobremesa familiar, grupos de WhatsApp. Como un sonido cotidiano que atraviesa generaciones y refleja cómo los argentinos nos relacionamos con las finanzas.

Con esa idea en mente, durante el sábado distintos barrios porteños se vieron intervenidos por una caravana de chatarreros -un ícono de la cultura popular- resignificados para hablar de inversiones. Su inconfundible megáfono dejó de ofrecer compra de “colchones, heladeras y cocinas” para pregonar la compra y venta de dólar 24/7 en la app de Cocos.

Una manera distinta, cercana y auténtica de mostrar que lo que siempre estuvo en la calle hoy también está en tu celular, 100% digital.

La acción generó sorpresa y conversación en redes. Pero, sobre todo, reforzó nuestro propósito: hablar de inversiones de forma simple y acercar las finanzas a más personas",65,1,1,11/10/2025,52786
Cocos,"Ya podés ver el 
hashtag
#Ranking🏆 de Volumen de Terceros de Agosto 2025.
Actividad consolidada en 
hashtag
#Futuros y 
hashtag
#Opciones.



||
|||||| LBO S.A. |l",64,1,1,11/09/2025,52786
Cocos,"Los fondos #1 de Argentina están en Cocos 🚀 

Hoy, Cocos es la segunda gestora de fondos de mayor crecimiento en Argentina, con más de 800 mil millones de pesos administrados.

Leé la nota completa en👉",18,0,0,20/10/2025,52786
Cocos,"📊 Seguimos siendo protagonistas en el mercado

Cocos se mantiene desde hace meses entre los principales puestos del rankingen término de volumen operado

En agosto nos ubicamos:
#2 en Acciones
#4 en Renta Fija

En solo cuatro años, Cocos se convirtió en uno de los actores más relevantes del ecosistema de inversiones digitales de Argentina.",31,1,1,11/09/2025,52786
Cocos,"🏠 Este fin de semana construimos junto a TECHO - Argentina 4 viviendas de emergencia en La Plata.

Por tercer año consecutivo nos unimos como voluntarios para que más familias duerman bajo un techo seguro.

Esta iniciativa nos une como equipo y nos conecta con la comunidad, dejándonos aprendizajes, historias y la certeza de que juntos podemos generar un cambio real.

🙏 Gracias TECHO por acompañarnos en estos días y a cada persona del equipo de Cocos que se sumó con tanta energía, tiempo y corazón a esta experiencia transformadora.",85,3,3,11/09/2025,52786
Cocos,"📊 La información mueve al mercado: lo que tenés que saber en menos de 30”

👉 Dólar cerró la semana al alza en todas sus variantes.
👉 Tasas récord: cauciones bursátiles.
👉 Aerolíneas Argentinas presentó un balance anual positivo por primera vez desde su estatización en 2008
👉 Se habilitó el pago de impuestos con criptomonedas en CABA
👉 El Tesoro absorbió $3,8 billones mediante letras para retirar liquidez del mercado.

Descubrí las noticias que pueden transformar tu próxima decisión de inversión.",10,0,0,11/09/2025,52786
Cocos,"hashtag
#AbriendoCocos 🥥

Hoy recibimos en nuestras oficinas a estudiantes de finanzas de Universidad del CEMA,y.

Pudieron conocer de cerca cómo trabajan algunos equipos -mesa, comercial, fondos comunes de inversión y operaciones- y acercarse al mercado desde la experiencia real.

Nos encanta abrir las puertas de la oficina como espacio de aprendizaje. ¡Gracias por la visita!",80,0,2,11/09/2025,52786
Cocos,"📣 BÚSQUEDAS ABIERTAS EN COCOS 🥥

Empezamos la semana con vacantes activas para sumarte a un equipo que innova, desafía el status quo y pone al usuario en el centro de todo lo que construye

📍 Ubicación: Florida, Buenos Aires, Argentina
🥥 Acquisition Marketing Specialist 👉
🥥 PR & External Comms Manager 👉
🥥 Senior Product Manager 👉
🥥 Senior Back End Developer 👉
🥥 Financial Advisor – Banca Privada 👉
🥥 Financial Advisor – Segmento PyMEs 👉

Postulate desde los links y compartilo con quien creas que le puede interesar",382,21,21,12/08/2025,52786
Cocos,"Desayuno Cocos Biz para Pymes

Recibimos en nuestras oficinas a clientes y empresas interesadas en conocer más sobre comercio exterior y la Argentina que viene en términos económicos.

directora del departamento jurídico de negocios internacionales, aduanero y cambiario debrindó ideas y perspectivas sobre el comercio internacional.

Matías Bensousan, economista y asesor financiero del segmento Cocos Biz, compartió su mirada sobre el contexto macroeconómico de cara al segundo semestre.

¡Gracias a quienes se sumaron!",90,4,4,12/08/2025,52786
Cocos,"Abriendo Cocos 🥥 

Recibimos en nuestras oficinas a un grupo de seguidores de Juntala, el podcast que te invita a pensar la plata.

Compartimos una clase de educación financiera a cargo de, donde se abordaron temas como fondos comunes de inversión, finanzas personales y coyuntura económica.

Además, hicimos un recorrido por la ofi de Cocos y conocieron de cerca cómo trabaja cada área.

Gracias a quienes vinieron con preguntas, curiosidad y ganas de aprender. Nos encanta abrir las puertas y generar estos espacios de ida y vuelta.",80,0,1,12/08/2025,52786
