username,text,likes,retweets,replies,views,created_at
brubankarg,"¡Hasta el 20/12, invertí en Netflix, Google, Amazon, Tesla y más con 0% comisiones!  
Con Brubank, hacé crecer tu plata en las empresas más grandes del mundo.

Invertir nunca fue tan fácil. ¡Probalo ya!

*Aplican términos y condiciones",13,0,22,7000,2024-12-17T14:54:57.000Z
brubankarg,"¡Los lunes de diciembre son para ahorrar con Brubank + App YPF!
Cada lunes, disfrutá un 10% OFF en App YPF pagando con tu tarjeta de débito Brubank.  
Y si cargás Infinia, ¡te llevás 10% OFF extra!

Cómo aprovechar:
 Descargá la App de YPF (si no la tenés todavía, ¿qué",5,0,5,3000,2024-12-16T17:47:19.000Z
brubankarg,"Invertí tu aguinaldo en Dólar MEP 

Desde la app de Brubank, hacelo en 3 simples pasos:
 Abrí la app
 Elegí ""Inversiones"" y seleccioná Dólar MEP
 Indicá cuánto querés comprar y listo.
En 24 hs recibís tus dólares en tu caja de ahorro. 

¡Protegé tu aguinaldo hoy mismo!",6,0,3,3000,2024-12-16T15:23:26.000Z
brubankarg,"¿Te preguntaste alguna vez cuánto hubieras ganado si invertías tu aguinaldo pasado en Fondos Comunes de Inversión?
Esta vez, hacé crecer tu plata con los mejores Fondos Comunes de Inversión.
Elegí entre Renta Fija, Acciones Argentinas y más, ¡y empezá a invertir desde la app!",9,0,2,2000,2024-12-16T14:23:29.000Z
brubankarg,"¿Comprás internacionales? Con Brubank, y acá te dejamos un paso a paso para tener en cuenta a la hora de comprar en el exterior. ",82,12,24,11000,2024-12-02T22:16:14.000Z
brubankarg,"¡Compra en el mundo con Brubank! 
Con tu tarjeta de débito o crédito, realizar compras internacionales nunca fue tan fácil.
Paga en dólares y accede a las mejores plataformas internacionales, ya sea de manera presencial o desde casa.
Y vos, ¿qué compraste y a dónde te",9,2,4,3000,2024-10-25T20:30:00.000Z
brubankarg,"¡La tarjeta de crédito Visa corporativa ya está acá para simplificarte la gestión de tu pyme!
Abrimos hilo de todo lo que tenés que saber:",13,1,2,3000,2024-10-17T19:32:10.000Z
brubankarg, Usá tu tarjeta internacional para pagar todos tus gastos en el exterior sin complicaciones.,1,0,1,2000,2024-10-17T19:32:13.000Z
brubankarg," Con la seguridad que necesita tu pyme: pausá y reactivá tus tarjetas cuando quieras, y asigná un límite mensual a cada tarjeta adicional.",1,0,0,2000,2024-10-17T19:32:13.000Z
brubankarg,"¡Se acerca el Día de la Madre! Es el momento ideal para agasajar a esas personas especiales.

Del 14 al 18 de octubre, disfruta de un 30% de reintegro pagando con tu tarjeta Brubank desde Google Pay, Apple Pay o MODO ¡Te devolvemos hasta $25,000 en las mejores marcas!",4,0,6,3000,2024-10-15T20:58:39.000Z
brubankarg," No te lo podés perder. Vení a Akiabara y disfrutá de un 20% de reintegro al pagar con MODO por QR con tu tarjeta de crédito o débito. 
Del 10 al 11 de octubre.  ¡Sin tope en el reintegro! 
modo.com.ar/promos/akiabar
…",0,0,1,2000,2024-10-10T17:40:02.000Z
brubankarg," Les compartimos este artículo que puede serles útiles para resolver sus dudas sobre compras internacionales y pagos en dólares:
help.brubank.com/es/articles/82
…
Tengan en cuenta, que siempre estamos disponibles a través del chat de soporte en nuestra aplicación.",13,3,18,5000,2024-09-26T18:12:14.000Z
brubankarg,"20% OFF en tus compras, ¡por tiempo limitado!

Este 19 y 20 de septiembre, escaneá el QR de MODO desde la app de Brubank y obtené tu reintegro sin tope en comercios adheridos en shoppings como Palmas del Pilar, Portal Patagonia, Portal Tucumán, ¡y más!

¿Cómo?
 Desde la app",6,0,6,3000,2024-09-19T21:04:28.000Z
brubankarg,"Protegé a tus hijos menores de las apuestas online
¿Cómo? Con Control Familiar la nueva herramienta de Brubank diseñada para que madres, padres y tutores puedan supervisar en tiempo real los movimientos de las cuentas de los menores
Abro hilo con todo lo que tenes que saber",25,8,7,4000,2024-09-16T21:29:45.000Z
brubankarg," Supervisá los movimientos y gastos en tiempo real
 Detectá señales de alerta
 Fomentá el diálogo familiar
Con Control Familiar, podrás anticiparte a cualquier señal de alarma.",5,0,1,2000,2024-09-16T21:29:46.000Z
brubankarg,"¡Se viene el Día de las Infancias! Llegá preparado.

Disfrutá de hasta 4 cuotas sin interés con tu tarjeta de débito Visa Brubank del 6 al 18 de agosto. 

Conocé los comercios adheridos a GOcuotas: 
gocuotas.com/dia_de_la_ninez",5,0,12,2000,2024-08-06T20:24:31.000Z
brubankarg,"Que levante la mano el #TeamCalor  Disfrutá de tu viaje con el acompañamiento de Pax Assistance, con planes que se adaptan a los lugares, los días y las actividades que hagas. 

Te acercamos nuestras preguntas frecuentes  para que puedas conocer más información:",5,0,6,2000,2024-07-25T21:07:51.000Z
brubankarg,"Estamos las 24 horas, los 7 días de la semana

Hoy todos los consumos que hagas  mayores a $10.000, participan para poder ganarte hasta $200.000

También podés invertir en las empresas más importantes del mundo sin pagar comisiones. Ingresá desde la sección Inversiones >",10,2,12,3000,2024-07-24T17:50:39.000Z
