username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"¿Estás para gastar menos en súper, restaurantes, farmacias y hasta en gustitos del kiosko?  Hoy es tu día de suerte ",7,0,5,3000,2025-08-28T16:08:48.000Z,,0.0,
uala_arg," En Farmacity, Simplicity y Get The Look tenés 25% de reintegro.",3,0,2,2000,2025-08-28T16:12:02.000Z,,0.0,
uala_arg,"Entonces, estás para Ualá  
 Mirá todas las promos completas acá → 
uala.com.ar/promos",2,0,0,1000,2025-08-28T16:12:59.000Z,,0.0,
uala_arg," En gustitos del kiosko, la rompemos:  Open25 tiene hasta 65% de reintegro si pagás desde el celu.",3,0,0,868,2025-08-28T16:12:31.000Z,,0.0,
uala_arg,Ya descubrimos cómo pagó tremendo anillo ,26,0,11,6000,2025-08-27T14:24:37.000Z,,0.0,
uala_arg,"La Tarjeta de Crédito Ualá que es bancaria, pagas en cuotas, la pedís gratis y no pagas costos de mantenimiento = jugada maestra",6,0,5,2000,2025-08-27T14:25:19.000Z,,0.0,
uala_arg,Preguntándole a mi tarjeta si puedo sacar ese pasaje ,19,0,8,4000,2025-08-26T13:23:01.000Z,,0.0,
uala_arg," Estás para dejar de tener la plata en mil apps
 Estás para que no se te caiga más el homebanking
 Estás para Ualá
Descargá la app",9,1,9,3000,2025-08-25T16:39:54.000Z,,0.0,
uala_arg,Después de aprovechar la suba de la remunerada,44,2,9,5000,2025-08-22T13:45:50.000Z,,0.0,
uala_arg,"¿Cómo hacer que tu plata rinda más sin volverte experto en finanzas?  Con la mejor cuenta remunerada 

Acá va un hilo con data que te suma de verdad ",5,1,6,4000,2025-08-21T17:29:32.000Z,,0.0,
uala_arg,¿Querés saber cuánto te falta para llegar? En la app tenés una barra que te lo muestra en tiempo real. Cuando llega al 100%… ,0,0,2,2000,2025-08-21T17:35:20.000Z,,0.0,
uala_arg,"Si llegás en agosto, en septiembre festejás mucho más que el Día de la Primavera 
De nada ",1,0,1,2000,2025-08-21T17:39:03.000Z,,0.0,
uala_arg,¿La nueva moda la billepan? Lo importante es que pagó con la de Ualá y si fue un lunes aprovechó el 15% de reintegro ,14,0,7,5000,2025-08-20T16:55:32.000Z,,0.0,
uala_arg,"-Mi jefe: No te voy a poder dar los días de vacaciones que te pediste
-Yo entrenando para convertirme en el Guerrero Dragon con las Millas 
@SmilesOficialAR
  que canjeé de puntos Ualá+",11,0,4,3000,2025-08-19T20:46:43.000Z,,0.0,
uala_arg,"Solo por 48hs, canjeá tus puntos Uala+ por millas Smiles y recibís 160% millas bonus ",2,0,2,2000,2025-08-19T20:47:52.000Z,,0.0,
uala_arg,"¿Buscando invertir fácil en #Ethereum? Podés hacerlo desde la app 

Entrás a inversiones ""CEDEARs, Acciones y Bonos""filtrás por ETF o buscás ETHA y ¡listo!",2,0,0,2000,2025-08-19T13:11:52.000Z,,0.0,
uala_arg,"¿Se acuerdan de Pakito? Él sí que supo aprovechar las promos GIGANTES 

Mirá todas las promos en 
uala.com.ar/promos",15,2,5,4000,2025-08-18T20:24:38.000Z,,0.0,
uala_arg,"Por si no lo viste 
Plazo Fijo a 30 días: 45%TNA ",20,1,4,5000,2025-08-18T17:37:35.000Z,,0.0,
uala_arg,La tarjeta de las showgirls ,112,4,20,12000,2025-08-15T13:00:03.000Z,,0.0,
uala_arg,"Arrancás el finde largo con una buena noticia. Subimos la tasa de la cuenta remunerada 

Conocé más acá: 
uala.com.ar/inversiones/cu
…",12,0,4,2000,2025-08-14T20:48:30.000Z,,0.0,
uala_arg,"Y sí, es una promo gigante 
Pakito, ¿nos estás proponiendo usar a un fan real para protagonizar nuestra próxima campaña?",23,3,21,11000,2025-08-14T14:51:48.000Z,,0.0,
uala_arg,Para los que dijeron “yo no soy tan fan del pistacho”… pero lo van a comprar igual. Que al menos sea con promo ,15,1,3,5000,2025-08-13T18:18:57.000Z,,0.0,
uala_arg,"Nuestra oficina con la camiseta bien puesta 

¿Querés ser parte de Ualá? Conocé las posiciones abiertas  
lnkd.in/dZFhPMWv",8,0,1,2000,2025-08-13T15:01:43.000Z,,0.0,
uala_arg,"Vamos a tener que hablar más bajito la próxima. Nos descubrieron.
¿Cuándo hacemos algo juntos?",38,1,10,9000,2025-08-06T18:52:54.000Z,,0.0,
uala_arg,Tu plata creciendo sin que vos te muevas,19,0,12,3000,2025-08-05T13:29:11.000Z,,0.0,
uala_arg,"Abrí gratis tu cuenta desde la app de Ualá y sumá plata a tu Cuenta Remunerada que generar ganancias todos los días, con una tasa plus que hoy es de 32% TNA",1,0,8,2000,2025-08-05T13:30:45.000Z,,0.0,
uala_arg,"¿Cómo llegás a esa Tasa Plus?
Si este mes sumás $500.000 entre ciertas inversiones o consumos, el mes que viene tu tasa sube +5% sobre la base ",1,0,1,1000,2025-08-05T13:32:40.000Z,,0.0,
uala_arg,Principio de mes y queremos hacerte una pregunta clave. ¿Tenés un método para organizar tu plata? ,2,2,10,3000,2025-08-04T19:34:45.000Z,,0.0,
uala_arg,"Festejamos los 7 millones de usuarios en Ualá. En promedio, 2.400 personas por día, más de 74.000 por mes . Gracias por escucharnos, sumarse, quedarse y ser parte. 
Lo mejor está por venir.",25,1,12,4000,2025-08-01T20:48:46.000Z,,0.0,
uala_arg,Lo que más sorprendió es lo avanzados que vienen los peces ahora,128,5,21,8000,2025-07-31T13:51:00.000Z,,0.0,
uala_arg,"Datazo de tu Tarjeta de Crédito: Todas tus compras con tu Tarjeta de Crédito Ualá suman para que llegues a los $500.000 del mes y alcances tu tasa Plus (hoy 32%TNA) en tu Cuenta Remunerada.
Lo que capaz no sabías es esto.",60,4,9,8000,2025-07-30T21:16:42.000Z,,0.0,
uala_arg," ¿Por qué conviene?

Porque ese pago que ya ibas a hacer, suma para llegar a los $500.000 del mes y así tu Cuenta Remunerada podría pasar del 27% al 32% TNA el mes siguiente.",6,0,2,2000,2025-07-30T21:19:12.000Z,,0.0,
uala_arg,"En resumen:

 Pagás tu tarjeta (como todos los meses).
 Sumás consumos para alcanzar la tasa plus.
 Hacés que tu plata pueda rendir más, sin esfuerzo.",9,0,1,2000,2025-07-30T21:20:05.000Z,,0.0,
uala_arg,"Te tiro una  en vez de poner la plata abajo del plato de ñoquis, podés hacerla rendir en serio con la cuenta remunerada ",9,2,11,3000,2025-07-29T15:09:35.000Z,,0.0,
uala_arg,Rodrigo se viste de rosa y nosotros también ,31,1,12,5000,2025-07-28T16:59:27.000Z,,0.0,
uala_arg,"¿Viste cuando eran las 16:31h y te querías matar porque no llegaste a comprar dólares o invertir en esas Acciones? 
Bueno, eso se terminó.
Ahora el mercado abre a las 10:35h y cierra a las 16:55h 
Más tiempo para invertir. Menos excusas tipo “uh, ya cerró”. ",9,0,3,2000,2025-07-28T14:48:01.000Z,,0.0,
uala_arg,"Comprás dólares

 Invertís desde $1

Pedís tu tarjeta sin moverte del sillón

Pagás servicios, recargás el celu

Ahorrás todos los días con las mejores promos",0,1,3,3000,2025-07-11T18:03:40.000Z,,0.0,
uala_arg,Abrí hoy tu cuenta y podés ser parte de esta gente... todo desde el sillón,1,0,3,2000,2025-07-11T18:04:34.000Z,,0.0,
uala_arg,¿Sabías que podés pagar el colectivo con la tarjeta?,2,0,25,4000,2025-07-08T17:54:22.000Z,,0.0,
uala_arg,"¡Ahora con Ualá podés!
1. Avisá al chofer tu destino
2. Activá la billetera de tu celular
3. Acercá el celular al lector del colectivo… ¡y listo!",3,0,2,3000,2025-07-08T18:18:46.000Z,,0.0,
uala_arg,"Durante todo julio, si pagás el colectivo desde tu celu o reloj inteligente con tu Tarjeta de Crédito o Prepaga, tenés hasta 100% de reintegro en todos tus viajes. ¡Podés ahorrar hasta $20.000! 

Más info acá  
uala.com.ar/transporte",7,1,6,2000,2025-07-08T18:21:34.000Z,,0.0,
uala_arg,"¿Querés invertir ese extra?
Te muestro 4 formas de hacerlo rendir desde Ualá ",16,1,40,7000,2025-07-04T18:37:15.000Z,,0.0,
uala_arg,"Invertí en CEDEARs, Acciones o Bonos.
Desde montos bajos, sin ser experto y todo desde la App.",1,0,5,3000,2025-07-04T18:41:06.000Z,,0.0,
uala_arg,"Si querés empezar sin complicarte, esta puede ser tu puerta de entrada.
Tenés 6 FCI en pesos distintos, manejados por expertos, para elegir el que mejor se ajuste a tu objetivo.",1,0,3,3000,2025-07-04T18:42:44.000Z,,0.0,
uala_arg,"Ponelo a trabajar en tu Cuenta Remunerada.
Ingresá desde $10.000 y ya empezás a generar rendimientos todos los días solo por tenerla depositada. 
Y si en el mes sumás $500.000 o más entre ciertas inversiones y consumos, tu tasa podría subir a 35% TNA el mes que viene.",0,0,2,745,2025-07-04T18:39:08.000Z,,0.0,
