Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1862144698288066936,belo 🌎,"¡Gracias @LANACION por destacar a belo como la opción preferida de los turistas argentinos para pagar en Brasil! 🇧🇷 ✈️

https://t.co/8q0LRMvu7p",Thu Nov 28 14:41:07 +0000 2024,2,13,0,5,2292
1861896572809715978,belo 🌎,"🎮 ¡Empezó el @Steam Autumn Sale! 

Te dejamos algunos de los descuentos más destacados para que aproveches 👇🧵 https://t.co/8BoxJ6bk2g",Wed Nov 27 22:15:09 +0000 2024,3,12,1,4,4196
1861832495488024825,belo 🌎,"Recibí tus USD de plataformas como @PayPal, @deel, @Airbnb y más plataformas con 0% de comisión y usá tu dinero como quieras.

Retirá pesos o dólares a tu banco local, pedí tu tarjeta, comprá bitcoin, pagá con PIX en Brasil, comprá tus giftcards de @Steam y mucho más. 

0% https://t.co/EcWFJqSqUk",Wed Nov 27 18:00:32 +0000 2024,2,20,1,8,11045
1861442237667647685,belo 🌎,"CHAU COMISIONES 👋

Así como leíste: abrí hoy tu cuenta receptora de dólares GRATIS y recibí tu dinero en belo GRATIS.

👇 https://t.co/nGzGs42Zh8",Tue Nov 26 16:09:48 +0000 2024,1,25,3,4,5488
1861149876681122068,belo 🌎,"Historia real del belo team:

- ¿Qué onda que te habló tu ex? 
- Te juro que solo me escribió para pagar con PIX https://t.co/FJlnfokUAw",Mon Nov 25 20:48:03 +0000 2024,5,23,0,2,3070
1861138576991297920,belo 🌎,"La buena data se comparte 👇

Ahora, con la calculadora de @steamcito_ar vas a saber cuanto estás ahorrando al usar @belo_app cuando compres tus juegos en @Steam 

Anda probándola que esta semana sale la Steam Autumn Sale 🔥",Mon Nov 25 20:03:09 +0000 2024,4,14,0,1,2668
1861068754194436419,belo 🌎,"✅ ¿Abrir tu cuenta receptora de dólares? GRATIS.

✅ ¿Retirar dólares de tu cuenta en EE.UU. a belo? GRATIS.

✅ ¿Recibir pagos mediante transferencias ACH de personas y empresas? GRATIS.

✅ ¿Retirar dinero de plataformas como PayPal, Wise, Airbnb, Deel, Upwork y más? Si, https://t.co/AuP7abM3O9",Mon Nov 25 15:25:42 +0000 2024,10,72,3,12,15465
1861062542627389759,belo 🌎,"FREELANCER, QUEREMOS QUE NO PAGUES POR COBRAR 🫂

Es por eso que te traemos una hermosa noticia para que cierres el año: hasta que finalice el año LAS COMISIONES DE CUENTA EN DÓLARES SE VAN A CERO 0️⃣ 🎉

✅ Abrir tu cuenta receptora de dólares es GRATIS.

✅ Retirar dólares de tu https://t.co/7tfVIv4sfw",Mon Nov 25 15:01:01 +0000 2024,26,161,10,141,253211
1861036672378413431,belo 🌎,"¿0 seguidos? No es un error, es una señal. Ya se van a enterar... #0 https://t.co/fy3hL2KHFu",Mon Nov 25 13:18:13 +0000 2024,1,20,1,7,7867
1859618286977028402,belo 🌎,"¿Estás pensando en ir en auto a Brasil? 🇦🇷🚘🇧🇷 Hicimos el trabajo por vos:

👉 Cuál es la mejor ruta
👉 Cuáles son los requisitos para ir a Brasil en auto
👉 Cuántas horas de viaje son

Y más por aquí 🧵👇",Thu Nov 21 15:22:04 +0000 2024,3,10,0,7,2796
