Id,Username,Text,Created At,Retweets,Likes,Quote_count,Reply_count,View_count
1869490710644437289,Lemon Argentina,"Llegan las fiestas, llega fin de año, y también llega ÉL.

El  A G U I N A L D O

En Lemon creemos que hay ciertos PERSONAJES para identificar. Faveá tranquilo con el que te sientas identificado 😉 https://t.co/NFJNIjVNsp",Wed Dec 18 21:11:33 +0000 2024,0,15,0,2,2624
1869479364313915889,Lemon Argentina,En el 130 hasta los 130k 🚌⚡️ https://t.co/324uErG91d,Wed Dec 18 20:26:28 +0000 2024,1,26,0,4,2330
1869476824855482521,Lemon Argentina,"NOVEDADES EN LA HOME 🔍

Llega el verano y refrescamos un poquito la home de la app:

👉 Nuevo centro de envíos
👉 Lupita para encontrar lo que querés
👉 Nuevo centro de notificaciones

En este hilo te cuento todos los detalles 🧵 https://t.co/BbYhlUWgV2",Wed Dec 18 20:16:22 +0000 2024,1,29,1,5,4320
1869418261764575551,Lemon Argentina,"BOM DIA, atualize o app para aproveitar todas as novidades! 🇧🇷  

Ah de repente era BR, bueno actualizá la app negry https://t.co/GVjDRD08R1",Wed Dec 18 16:23:40 +0000 2024,5,42,0,7,3906
1869134887334347150,Lemon Argentina,"🇧🇷 PAGÁ CON PIX desde Lemon 🇧🇷

Este verano, liberá espacio en el celu y en la billetera:

✅ Al mejor tipo de cambio
✅ Sin impuestos
✅ Sin llevar reales
✅ Sin usar apps que no conocés

Dejá tu $lemontag acá abajo si te vas a Brasil y querés ser de los primeros en probarlo 👇 https://t.co/e6jMxK1USH",Tue Dec 17 21:37:38 +0000 2024,14,172,7,256,45704
1869049751079178647,Lemon Argentina,"Che, consulta: ¿Quién de acá se va a Brasil este verano? 🏖️🇧🇷",Tue Dec 17 15:59:20 +0000 2024,1,43,1,28,7436
1868761760930709859,Lemon Argentina,"Las voy a usar hasta que Bitcoin llegue a 200k 

Salu2 https://t.co/72MVtGx56k",Mon Dec 16 20:54:58 +0000 2024,0,35,0,4,2499
1868758593048396227,Lemon Argentina,Qué lindo arrancó la semana 🔥 https://t.co/ZRCdxyZ5e2,Mon Dec 16 20:42:23 +0000 2024,2,28,0,1,2627
1868729481843949822,Lemon Argentina,"Queremos seguir dándole el primer contacto con crypto a millones de personas alrededor del mundo de la manera más simple 💪🍋 

Vamos por más junto a @EndeavorArg",Mon Dec 16 18:46:42 +0000 2024,0,9,0,2,2404
1868687430422774115,Lemon Argentina,"¿Tenés EUROS y no sabes cómo MWORD pasarlos a pesos? A partir de hoy en Lemon tenés la solución más fácil de todas, porque vas a poder usar tus euros en un toque 😎

Así que si laburás para afuera o tenés euros y necesitás usarlos en 🇦🇷, Lemon es tu mejor opción 🤳 https://t.co/xt1NUIKEey",Mon Dec 16 15:59:36 +0000 2024,3,19,0,2,3342
