username,text,likes,retweets,replies,views,created_at,images
infobae,"Es madre de dos hijas, perdió la visión a los 19 años y cuestiona la mirada social sobre los ciegos: ""Pobrecita nada"" I Por Tatiana Schapiro  infob.ae/46HD8hj",9,0,0,4000,2025-09-20T12:03:56.000Z,https://pbs.twimg.com/media/G1SdPTxWgAAi9Xu.jpg
infobae, EN VIVO | Elecciones 2025: las últimas noticias hacia los comicios legislativos nacionales del 26 de octubre,2,0,0,4000,2025-09-20T12:03:12.000Z,
infobae,La ciudad con encanto rural y arroyos a menos de 70 km de CABA para conocer en primavera | Por Faustino Cuomo,3,1,0,4000,2025-09-20T12:01:24.000Z,
infobae,"Botrading: el caso que podría llevar a Luis Arce a un juicio de responsabilidades por presunta corrupción en Bolivia | Por María Silvia Trigo, desde Tarija",0,0,0,4000,2025-09-20T11:58:05.000Z,
infobae,Polémica en Brasil por el proyecto de ley que blindaría a los congresistas ante la justicia: “Extiende una alfombra roja al crimen organizado” | Por Maria Zuppello,7,3,1,4000,2025-09-20T11:55:10.000Z,
infobae,[OPINIÓN] LUMINA IA: cuando la Inteligencia Artificial se encuentra con la Espiritualidad Ignaciana | Por Javier Rojas,0,0,0,4000,2025-09-20T11:55:03.000Z,
infobae,El Gobierno de Estados Unidos planea una venta de armas a Israel valorada en casi 6.000 millones de dólares,8,0,5,4000,2025-09-20T11:55:00.000Z,
infobae,Malvinas en Bariloche: secretos y enigmas del avión Mirage que se exhibe en el lago Nahuel Huapi | Por Patricia Fernández Mainardi,4,0,2,4000,2025-09-20T11:52:36.000Z,
infobae,El kirchnerismo se movilizará a la casa de Cristina Kirchner al cumplirse 100 días de su detención domiciliaria,3,0,5,4000,2025-09-20T11:21:35.000Z,
infobae,"Tras la conversación entre Trump y Xi, la empresa matriz de TikTok se comprometió a operar y brindar “un buen servicio” en EEUU",2,0,0,4000,2025-09-20T11:20:00.000Z,
infobae,La CIDH otorgó medidas cautelares a favor de cinco opositores detenidos por el régimen de Nicaragua,3,1,1,4000,2025-09-20T11:17:18.000Z,
infobae,Fusión Cono Sur pone sobre la mesa las tradiciones peruanas y argentinas: chefs reinventan recetas y consolidan vínculos,5,0,0,4000,2025-09-20T11:15:00.000Z,
